6443
ACTB	9740.309	6670.156	9062.112	3154.574	2967.093	3480.256	3219.391	2745.683	2880.452	2664.269	362.687	419.414	415.017	352.787	2537.857	2082.117	2440.846	4850.923	5505.478	4251.413	4902.096	10991.331	10988.746	10804.795	4762.274	18504.37	18753.871	19143.546
ACTL6A	120.117	82.229	122.844	92.982	136.786	114.24	133.718	31.932	32.49	34.747	351.285	356.145	318.376	331.175	31.537	32.751	21.001	12.262	11.888	12.528	11.377	50.988	53.314	54.248	48.01	57.118	54.065	59.942
ACTN1	112.755	102.869	143.636	62.996	296.773	338.961	337.231	1001.491	972.434	936.999	151.726	174.563	190.573	162.44	965.73	570.96	929.77	356.218	259.145	373.744	311.895	774.439	799.257	769.025	128.383	783.403	837.603	801.32
ACTR10	114.28	95.195	88.109	112.534	66.074	59.392	63.784	104.249	91.73	108.122	359.92	336.946	297.823	331.727	117.021	96.614	78.27	94.205	86.409	86.706	90.795	58.61	59.403	69.245	27.717	188.611	177.794	185.338
ACTR1A	226.614	288.758	307.716	149.745	154.653	173.687	163.662	230.007	227.558	219.758	124.012	124.626	133.311	115.832	190.858	118.833	129.65	224.369	230.2	233.545	214.887	184.552	179.336	193.542	126.854	158.423	157.766	157.775
ACTR2	1056.027	500.608	683.943	521.669	251.501	173.257	206.018	333.545	291.906	301.482	417.325	433.861	358.318	328.372	376.473	293.387	249.658	319.043	303.803	275.216	293.359	331.043	372.1	392.251	114.366	286.307	254.448	254.985
ACTR3	562.794	360.752	459.994	170.752	382.99	308.504	363.079	619.247	574.167	591.649	628.17	589.301	523.442	470.532	146.847	114.502	107.956	370.306	357.593	380.119	381.409	385.35	430.528	459.403	134.375	377.074	340.252	351.963
ACTR5	6.418	7.231	10.025	4.74	12.615	16.261	14.695	4.231	4.868	4.873	2.495	2.43	2.918	2.514	4.494	5.187	4.997	13.581	10.723	15.479	12.055	8.178	7.757	8.618	13.817	7.926	7.673	7.229
ACTR6	18.479	12.057	9.422	15.262	29.593	21.005	24.913	35.533	34.561	36.82	126.129	112.181	101.294	113.336	31.688	33.156	28.603	9.334	8.769	8.833	9.845	8.947	10.128	11.551	8.672	14.265	13.081	12.521
ACTR8	31.416	24.51	30.697	21.145	11.878	15.864	11.741	39.986	36.699	40.073	29.648	26.204	24.145	22.097	5.403	4.846	5.276	15.785	13.098	16.562	14.136	14.207	13.912	14.26	16.108	29.817	26.602	26.893
ACVR1	49.193	86.34	82.908	60.434	26.84	23.997	25.825	77.166	70.773	74.379	15.933	13.01	13.723	11.494	35.666	27.694	40.32	44.446	37.232	40.617	34.959	21.344	23.82	25.716	13.894	63.722	60.234	57.789
ACVR1B	19.354	15.049	13.738	21.36	19.574	21.684	18.741	3.334	2.37	2.755	6.389	5.67	7.187	6.188	8.82	6.651	8.383	8.118	5.981	11.61	6.956	2.576	2.859	2.99	3.45	14.425	14.065	13.92
ACVR2A	13.21	11.414	18.66	54.54	12.257	8.599	12.396	10.127	9.415	9.346	3.707	2.385	2.873	3.102	13.853	21.008	35.184	15.712	14.289	14.875	12.953	2.407	2.214	2.481	4.701	37.291	37.258	35.653
ACYP1	35.515	25.874	21.741	49.407	5.267	4.222	3.771	12.529	10.867	15.964	31.969	26.738	19.546	23.937	8.964	9.181	10.124	27.773	28.953	26.827	26.988	10.738	13.609	13.938	18.095	16.748	18.419	19.053
ADAM10	181.145	130.859	107.983	102.606	87.665	65.828	79.921	70.966	57.899	63.819	54.424	48.414	50.825	42.644	78.149	68.949	90.921	72.852	70.583	71.626	67.993	29.106	35.922	35.945	47.391	68.409	65.012	64.06
